Time	Work 0	Work 1	Work 2	Work 3	Work 4	Avail	Done	Remaining
0	S(79)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
1	S(78)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
2	S(77)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
3	S(76)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
4	S(75)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
5	S(74)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
6	S(73)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
7	S(72)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
8	S(71)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
9	S(70)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
10	S(69)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
11	S(68)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
12	S(67)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
13	S(66)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
14	S(65)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
15	S(64)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
16	S(63)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
17	S(62)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
18	S(61)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
19	S(60)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
20	S(59)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
21	S(58)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
22	S(57)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
23	S(56)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
24	S(55)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
25	S(54)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
26	S(53)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
27	S(52)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
28	S(51)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
29	S(50)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
30	S(49)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
31	S(48)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
32	S(47)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
33	S(46)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
34	S(45)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
35	S(44)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
36	S(43)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
37	S(42)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
38	S(41)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
39	S(40)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
40	S(39)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
41	S(38)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
42	S(37)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
43	S(36)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
44	S(35)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
45	S(34)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
46	S(33)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
47	S(32)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
48	S(31)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
49	S(30)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
50	S(29)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
51	S(28)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
52	S(27)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
53	S(26)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
54	S(25)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
55	S(24)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
56	S(23)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
57	S(22)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
58	S(21)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
59	S(20)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
60	S(19)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
61	S(18)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
62	S(17)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
63	S(16)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
64	S(15)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
65	S(14)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
66	S(13)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
67	S(12)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
68	S(11)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
69	S(10)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
70	S(9)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
71	S(8)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
72	S(7)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
73	S(6)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
74	S(5)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
75	S(4)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
76	S(3)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
77	S(2)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
78	S(1)	.	.	.	.			ABCDEFGHIJKLMNOPQRTUVWXYZ
79	C(63)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
80	C(62)	.	.	.	.		S	ABDEFGHIJKLMNOPQRTUVWXYZ
